name,old_name,email,assignment,year_in_program,hard_courses_taught,07:30_09:30_pref,09:30_11:30_pref,12:00_14:00_pref,14:00_16:00_pref,16:00_23:59_pref,1_course_pref,2_course_pref,3_course_pref,4_course_pref,5_course_pref,time_course_pref,07:30_08:20_unavail_days,08:30_09:20_unavail_days,09:30_10:20_unavail_days,10:30_11:20_unavail_days,11:00_11:50_unavail_days,11:30_12:20_unavail_days,12:30_13:20_unavail_days,13:30_14:20_unavail_days,14:00_14:50_unavail_days,14:30_15:20_unavail_days,15:30_16:20_unavail_days,16:30_23:59_unavail_days,gradmath_courses,other_courses,overload,mathlab_or_grading,comment,delete_row
"01, TA",TA 01,redacted,['MATH:5000:0A01/MATH:4090:0A01 - Abstract Algebra I/A Rigorous Intro to Abstract Algebra'],5.0,MATH:0100 - Basic Algebra I,2.0,1.0,3.0,4.0,5.0,MATH:5000 - Abstract Algebra I,MATH:1005 - College Algebra,MATH:4020 - Basic Abstract Algebra,MATH:1860 - Calculus II,MATH:1850 - Calculus I,I care about these equally,,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday",,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday","MATH:6500 - Differential Geometry I,MATH:7030 - Topics in Algebra",EALL:7475,No,Both,,0
"02, TA",TA 02,redacted,['MATH:1010:0331 - Trigonometry'],3.0,MATH:1560 - Engineer Math II: Multivariable Calculus,2.0,3.0,5.0,1.0,4.0,MATH:5200 - Introduction to Analysis I,MATH:4010 - Basic Analysis,MATH:3770 - Fundamental Properties Spaces/Funct  I,MATH:1010 - Trigonometry,MATH:1440 - Mathematics for the Biological Sciences,I care about these equally,,,,"Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday",Tuesday,,,,Wednesday,"MATH:6000 - Categories and Modules,MATH:6400 - Algebraic Topology,MATH:7030 - Topics in Algebra,MATH:7290 - Seminar: Operator Theory",ENGR:7270,No,Math Tutorial Lab Hours,,0
"03, TA",TA 03,redacted,"['MATH:1350:0A03 - Quantitative Reasoning for Business', 'MATH:1350:0A07 - Quantitative Reasoning for Business', 'MATH:1350:0B18 - Quantitative Reasoning for Business']",4.0,MATH:1560 - Engineer Math II: Multivariable Calculus,5.0,4.0,3.0,2.0,1.0,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1440 - Mathematics for the Biological Sciences,MATH:1350 - Quantitative Reasoning for Business,MATH:1850 - Calculus I,MATH:1005 - College Algebra,Course preferences,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday",,"Monday,Wednesday,Friday",,,,,"Monday,Wednesday,Friday","Monday,Wednesday,Friday",,,"MATH:6200 - Analysis I,MATH:7830 - Topics in Applied Mathematics",,No,Neither,,0
"04, TA",TA 04,redacted,['MATH:1005:0121 - College Algebra'],2.0,MATH:1560 - Engineer Math II: Multivariable Calculus,5.0,4.0,1.0,2.0,3.0,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1460 - Calculus for the Biological Sciences,MATH:1850 - Calculus I,MATH:3770 - Fundamental Properties Spaces/Funct  I,MATH:4010 - Basic Analysis,I care about these equally,,,,"Monday,Wednesday,Friday",,,,"Monday,Tuesday,Wednesday,Friday",Tuesday,"Monday,Wednesday,Friday",,,"MATH:5600 - Nonlinear Dynamics with Numerical Methds,MATH:6200 - Analysis I,MATH:6500 - Differential Geometry I,MATH:7290 - Seminar: Operator Theory",,No,Math Tutorial Lab Hours,,0
"05, TA",TA 05,redacted,['MATH:1005:0083 - College Algebra'],3.0,I have not taught any of these.,1.0,2.0,3.0,4.0,5.0,MATH:1860 - Calculus II,MATH:1005 - College Algebra,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1460 - Calculus for the Biological Sciences,MATH:1010 - Trigonometry,I care about these equally,,,,,"Tuesday,Thursday","Tuesday,Thursday","Tuesday,Thursday","Tuesday,Thursday",,"Monday,Wednesday,Friday",Monday,"Monday,Tuesday","MATH:6000 - Categories and Modules,MATH:6200 - Analysis I,MATH:7030 - Topics in Algebra,MATH:7070 - Seminar: Algebra",,Yes,Math Tutorial Lab Hours,,0
"06, TA",TA 06,redacted,['MATH:1005:0232 - College Algebra'],2.0,I have not taught any of these.,5.0,4.0,1.0,2.0,3.0,MATH:1850 - Calculus I,MATH:1440 - Mathematics for the Biological Sciences,MATH:1860 - Calculus II,MATH:1340 - Mathematics for Business,MATH:1350 - Quantitative Reasoning for Business,Time preferences,,,"Monday,Tuesday,Wednesday,Friday",,"Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday",,Tuesday,,Tuesday,,,"MATH:5800 - Numerical Methods I,MATH:6400 - Algebraic Topology,MATH:7030 - Topics in Algebra",,No,Neither,,0
"07, TA",TA 07,redacted,['MATH:1020:0631 - Elementary Functions'],2.0,I have not taught any of these.,5.0,1.0,4.0,3.0,2.0,MATH:1850 - Calculus I,MATH:1020 - Elementary Functions,MATH:3720 - Introduction to Abstract Algebra I,MATH:1460 - Calculus for the Biological Sciences,MATH:1005 - College Algebra,I care about these equally,,,,,"Monday,Wednesday,Friday","Monday,Wednesday,Friday","Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday",,,"MATH:5600 - Nonlinear Dynamics with Numerical Methds,MATH:6000 - Categories and Modules,MATH:6400 - Algebraic Topology",Geometry and Toplogy RTG Seminar (I don’t think this will have a course code),No,Math Tutorial Lab Hours,,0
"08, TA",TA 08,redacted,"['MATH:1560:0A05 - Engineer Math II: Multivariable Calculus', 'MATH:1560:0A07 - Engineer Math II: Multivariable Calculus']",2.0,MATH:1560 - Engineer Math II: Multivariable Calculus,5.0,1.0,2.0,3.0,4.0,MATH:1560 - Engineer Math II: Multivariable Calculus,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1440 - Mathematics for the Biological Sciences,MATH:1460 - Calculus for the Biological Sciences,MATH:1020 - Elementary Functions,I care about these equally,,,Thursday,"Monday,Wednesday,Friday",,,"Monday,Wednesday,Friday",,,"Monday,Wednesday,Friday",Wednesday,,"MATH:5750 - Mathematical Biology I,MATH:6200 - Analysis I,MATH:6700 - Partial Differential Equations I,MATH:7770 - Seminar: Partial Differential Equations",,No,Math Tutorial Lab Hours,,0
"09, TA",TA 09,redacted,"['MATH:1460:0082 - Calculus for the Biological Sciences', 'MATH:1460:0101 - Calculus for the Biological Sciences', 'MATH:1460:0121 - Calculus for the Biological Sciences']",4.0,MATH:1005 - College Algebra,2.0,1.0,3.0,4.0,5.0,MATH:1860 - Calculus II,MATH:1460 - Calculus for the Biological Sciences,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1440 - Mathematics for the Biological Sciences,MATH:1350 - Quantitative Reasoning for Business,I care about these equally,,,,,"Tuesday,Thursday","Tuesday,Thursday",Tuesday,Tuesday,Tuesday,Tuesday,,,"MATH:7030 - Topics in Algebra,MATH:7070 - Seminar: Algebra,MATH:7470 - Seminar: Topology",GRAD:7385:001,Yes,Math Tutorial Lab Hours,"I am currently still deciding whether I will take GRAD:7385 or RHET:7940 in order to meet requirements for the Certificate in College Teaching. RHET:7940 is scheduled for 1:30p-4:15p every Monday, so leaving this time slot available would be much appreciated if possible.",0
"10, TA",TA 10,redacted,"['MATH:1850:0C08 - Calculus I', 'MATH:1850:0F12 - Calculus I']",3.0,I have not taught any of these.,4.0,1.0,2.0,3.0,5.0,MATH:3720 - Introduction to Abstract Algebra I,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1460 - Calculus for the Biological Sciences,MATH:1440 - Mathematics for the Biological Sciences,Course preferences,,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday","Tuesday,Thursday",,,,,"MATH:6000 - Categories and Modules,MATH:6400 - Algebraic Topology,MATH:6500 - Differential Geometry I,MATH:7030 - Topics in Algebra",,No,Extra Grading,,0
