course_number,TA_name,TA_year,TA_preference,TA_available
MATH:0100:0221,"20, TA",3,3,0
MATH:0100:0221,"52, TA",2,1,0
MATH:0100:0221,"54, TA",1,5,0
MATH:0100:0221,"55, TA",1,2,0
MATH:0100:0221,"56, TA",1,3,0
MATH:0100:0221,"57, TA",1,3,0
MATH:0100:0221,"58, TA",1,2,0
MATH:0100:0221,"59, TA",1,1,0
MATH:0100:0221,"64, TA",1,1,0
MATH:0100:0221,"68, TA",1,1,0
MATH:0100:0221,"69, TA",1,5,1
MATH:0100:0221,"70, TA",1,1,0
MATH:0100:0221,"01, TA",5,0,1
MATH:0100:0221,"02, TA",3,0,1
MATH:0100:0221,"06, TA",2,0,1
MATH:0100:0221,"09, TA",4,0,1
MATH:0100:0221,"10, TA",3,0,1
MATH:0100:0221,"11, TA",2,0,1
MATH:0100:0221,"12, TA",4,0,1
MATH:0100:0221,"13, TA",5,0,1
MATH:0100:0221,"15, TA",2,0,1
MATH:0100:0221,"16, TA",5,0,1
MATH:0100:0221,"18, TA",5,0,1
MATH:0100:0221,"19, TA",4,0,1
MATH:0100:0221,"21, TA",3,0,1
MATH:0100:0221,"23, TA",4,0,1
MATH:0100:0221,"24, TA",5,0,1
MATH:0100:0221,"31, TA",4,0,1
MATH:0100:0221,"32, TA",6,0,1
MATH:0100:0221,"33, TA",6,0,1
MATH:0100:0221,"34, TA",5,0,1
MATH:0100:0221,"36, TA",3,0,1
MATH:0100:0221,"37, TA",3,0,1
MATH:0100:0221,"38, TA",6,0,1
MATH:0100:0221,"40, TA",6,0,1
MATH:0100:0221,"43, TA",2,0,1
MATH:0100:0221,"44, TA (2)",3,0,1
MATH:0100:0221,"46, TA",2,0,1
MATH:0100:0221,"47, TA",2,0,1
MATH:0100:0221,"51, TA",3,0,1
MATH:0100:0221,"53, TA",3,0,1
MATH:0100:0221,"63, TA",1,0,1
MATH:0100:0221,TA 39,6,0,1
MATH:0100:0331,"20, TA",3,3,1
MATH:0100:0331,"52, TA",2,1,1
MATH:0100:0331,"54, TA",1,5,0
MATH:0100:0331,"55, TA",1,2,0
MATH:0100:0331,"56, TA",1,3,0
MATH:0100:0331,"57, TA",1,3,0
MATH:0100:0331,"58, TA",1,2,0
MATH:0100:0331,"59, TA",1,1,0
MATH:0100:0331,"64, TA",1,1,0
MATH:0100:0331,"68, TA",1,1,0
MATH:0100:0331,"69, TA",1,5,0
MATH:0100:0331,"70, TA",1,1,0
MATH:0100:0331,"01, TA",5,0,1
MATH:0100:0331,"02, TA",3,0,1
MATH:0100:0331,"03, TA",4,0,1
MATH:0100:0331,"04, TA",2,0,1
MATH:0100:0331,"06, TA",2,0,1
MATH:0100:0331,"07, TA",2,0,1
MATH:0100:0331,"10, TA",3,0,1
MATH:0100:0331,"11, TA",2,0,1
MATH:0100:0331,"12, TA",4,0,1
MATH:0100:0331,"13, TA",5,0,1
MATH:0100:0331,"15, TA",2,0,1
MATH:0100:0331,"16, TA",5,0,1
MATH:0100:0331,"18, TA",5,0,1
MATH:0100:0331,"22, TA",2,0,1
MATH:0100:0331,"23, TA",4,0,1
MATH:0100:0331,"26, TA",2,0,1
MATH:0100:0331,"28, TA",2,0,1
MATH:0100:0331,"29, TA",2,0,1
MATH:0100:0331,"31, TA",4,0,1
MATH:0100:0331,"32, TA",6,0,1
MATH:0100:0331,"36, TA",3,0,1
MATH:0100:0331,"37, TA",3,0,1
MATH:0100:0331,"38, TA",6,0,1
MATH:0100:0331,"40, TA",6,0,1
MATH:0100:0331,"41, TA",2,0,1
MATH:0100:0331,"42, TA",3,0,1
MATH:0100:0331,"43, TA",2,0,1
MATH:0100:0331,"50, TA",2,0,1
MATH:0100:0331,"53, TA",3,0,1
MATH:1005:0073,"01, TA",5,2,1
MATH:1005:0073,"03, TA",4,5,0
MATH:1005:0073,"05, TA",3,2,1
MATH:1005:0073,"07, TA",2,5,1
MATH:1005:0073,"13, TA",5,3,1
MATH:1005:0073,"14, TA",2,3,1
MATH:1005:0073,"18, TA",5,2,1
MATH:1005:0073,"20, TA",3,1,1
MATH:1005:0073,"22, TA",2,4,1
MATH:1005:0073,"23, TA",4,3,1
MATH:1005:0073,"27, TA",5,3,1
MATH:1005:0073,"29, TA",2,3,1
MATH:1005:0073,"42, TA",3,1,1
MATH:1005:0073,"43, TA",2,4,1
MATH:1005:0073,"45, TA",3,2,1
MATH:1005:0073,"49, TA",4,3,1
MATH:1005:0073,"52, TA",2,2,1
MATH:1005:0073,"54, TA",1,1,1
MATH:1005:0073,"55, TA",1,1,1
MATH:1005:0073,"56, TA",1,1,1
MATH:1005:0073,"57, TA",1,4,1
MATH:1005:0073,"58, TA",1,1,1
MATH:1005:0073,"59, TA",1,2,1
MATH:1005:0073,"60, TA",1,5,1
MATH:1005:0073,"62, TA",1,2,1
MATH:1005:0073,"64, TA",1,2,0
MATH:1005:0073,"67, TA",1,5,1
MATH:1005:0073,"68, TA",1,2,1
MATH:1005:0073,"70, TA",1,2,1
MATH:1005:0073,"02, TA",3,0,1
MATH:1005:0073,"04, TA",2,0,1
MATH:1005:0073,"06, TA",2,0,1
MATH:1005:0073,"08, TA",2,0,1
MATH:1005:0073,"09, TA",4,0,1
MATH:1005:0073,"10, TA",3,0,1
MATH:1005:0073,"11, TA",2,0,1
MATH:1005:0073,"12, TA",4,0,1
MATH:1005:0073,"15, TA",2,0,1
MATH:1005:0073,"16, TA",5,0,1
MATH:1005:0073,"17, TA",3,0,1
MATH:1005:0073,"19, TA",4,0,1
MATH:1005:0073,"21, TA",3,0,1
MATH:1005:0073,"24, TA",5,0,1
MATH:1005:0073,"26, TA",2,0,1
MATH:1005:0073,"28, TA",2,0,1
MATH:1005:0073,"31, TA",4,0,1
MATH:1005:0073,"32, TA",6,0,1
MATH:1005:0073,"33, TA",6,0,1
MATH:1005:0073,"34, TA",5,0,1
MATH:1005:0073,"36, TA",3,0,1
MATH:1005:0073,"37, TA",3,0,1
MATH:1005:0073,"40, TA",6,0,1
MATH:1005:0073,"41, TA",2,0,1
MATH:1005:0073,"44, TA (2)",3,0,1
MATH:1005:0073,"46, TA",2,0,1
MATH:1005:0073,"47, TA",2,0,1
MATH:1005:0073,"48, TA",2,0,1
MATH:1005:0073,"50, TA",2,0,1
MATH:1005:0073,"51, TA",3,0,1
MATH:1005:0073,"53, TA",3,0,1
MATH:1005:0073,"61, TA",1,0,1
MATH:1005:0073,"63, TA",1,0,1
MATH:1005:0073,"65, TA",1,0,1
MATH:1005:0073,"66, TA",1,0,1
MATH:1005:0073,"69, TA",1,0,1
MATH:1005:0073,"71, TA",1,0,1
MATH:1005:0073,TA 39,6,0,1
MATH:1005:0083,"01, TA",5,2,1
MATH:1005:0083,"03, TA",4,5,0
MATH:1005:0083,"05, TA",3,2,1
MATH:1005:0083,"07, TA",2,5,1
MATH:1005:0083,"13, TA",5,3,1
MATH:1005:0083,"14, TA",2,3,1
MATH:1005:0083,"18, TA",5,2,1
MATH:1005:0083,"20, TA",3,1,1
MATH:1005:0083,"22, TA",2,4,1
MATH:1005:0083,"23, TA",4,3,1
MATH:1005:0083,"27, TA",5,3,1
MATH:1005:0083,"29, TA",2,3,1
MATH:1005:0083,"42, TA",3,1,1
MATH:1005:0083,"43, TA",2,4,1
MATH:1005:0083,"45, TA",3,2,1
MATH:1005:0083,"49, TA",4,3,1
MATH:1005:0083,"52, TA",2,2,1
MATH:1005:0083,"54, TA",1,1,0
MATH:1005:0083,"55, TA",1,1,0
MATH:1005:0083,"56, TA",1,1,0
MATH:1005:0083,"57, TA",1,4,0
MATH:1005:0083,"58, TA",1,1,0
MATH:1005:0083,"59, TA",1,2,0
MATH:1005:0083,"60, TA",1,5,0
MATH:1005:0083,"62, TA",1,2,0
MATH:1005:0083,"64, TA",1,2,0
MATH:1005:0083,"67, TA",1,5,0
MATH:1005:0083,"68, TA",1,2,1
MATH:1005:0083,"70, TA",1,2,0
MATH:1005:0083,"02, TA",3,0,1
MATH:1005:0083,"04, TA",2,0,1
MATH:1005:0083,"06, TA",2,0,1
MATH:1005:0083,"08, TA",2,0,1
MATH:1005:0083,"09, TA",4,0,1
MATH:1005:0083,"10, TA",3,0,1
MATH:1005:0083,"11, TA",2,0,1
MATH:1005:0083,"12, TA",4,0,1
MATH:1005:0083,"15, TA",2,0,1
MATH:1005:0083,"16, TA",5,0,1
MATH:1005:0083,"17, TA",3,0,1
MATH:1005:0083,"19, TA",4,0,1
MATH:1005:0083,"21, TA",3,0,1
MATH:1005:0083,"24, TA",5,0,1
MATH:1005:0083,"26, TA",2,0,1
MATH:1005:0083,"28, TA",2,0,1
MATH:1005:0083,"31, TA",4,0,1
MATH:1005:0083,"32, TA",6,0,1
MATH:1005:0083,"33, TA",6,0,1
MATH:1005:0083,"34, TA",5,0,1
MATH:1005:0083,"37, TA",3,0,1
MATH:1005:0083,"40, TA",6,0,1
MATH:1005:0083,"41, TA",2,0,1
MATH:1005:0083,"44, TA (2)",3,0,1
MATH:1005:0083,"46, TA",2,0,1
MATH:1005:0083,"47, TA",2,0,1
MATH:1005:0083,"48, TA",2,0,1
MATH:1005:0083,"50, TA",2,0,1
MATH:1005:0083,"51, TA",3,0,1
MATH:1005:0083,"53, TA",3,0,1
MATH:1005:0083,"63, TA",1,0,1
MATH:1005:0083,"69, TA",1,0,1
MATH:1005:0083,TA 39,6,0,1
MATH:1005:0084,"01, TA",5,2,0
MATH:1005:0084,"03, TA",4,5,1
MATH:1005:0084,"05, TA",3,2,0
MATH:1005:0084,"07, TA",2,5,1
MATH:1005:0084,"13, TA",5,3,1
MATH:1005:0084,"14, TA",2,3,1
MATH:1005:0084,"18, TA",5,2,1
MATH:1005:0084,"20, TA",3,1,1
MATH:1005:0084,"22, TA",2,4,1
MATH:1005:0084,"23, TA",4,3,1
MATH:1005:0084,"27, TA",5,3,0
MATH:1005:0084,"29, TA",2,3,1
MATH:1005:0084,"42, TA",3,1,1
MATH:1005:0084,"43, TA",2,4,1
MATH:1005:0084,"45, TA",3,2,1
MATH:1005:0084,"49, TA",4,3,1
MATH:1005:0084,"52, TA",2,2,1
MATH:1005:0084,"54, TA",1,1,1
MATH:1005:0084,"55, TA",1,1,1
MATH:1005:0084,"56, TA",1,1,1
MATH:1005:0084,"57, TA",1,4,1
MATH:1005:0084,"58, TA",1,1,1
MATH:1005:0084,"59, TA",1,2,1
MATH:1005:0084,"60, TA",1,5,0
MATH:1005:0084,"62, TA",1,2,1
MATH:1005:0084,"64, TA",1,2,1
MATH:1005:0084,"67, TA",1,5,1
MATH:1005:0084,"68, TA",1,2,1
MATH:1005:0084,"70, TA",1,2,1
MATH:1005:0084,"04, TA",2,0,1
MATH:1005:0084,"06, TA",2,0,1
MATH:1005:0084,"09, TA",4,0,1
MATH:1005:0084,"10, TA",3,0,1
MATH:1005:0084,"11, TA",2,0,1
MATH:1005:0084,"12, TA",4,0,1
MATH:1005:0084,"15, TA",2,0,1
MATH:1005:0084,"16, TA",5,0,1
MATH:1005:0084,"17, TA",3,0,1
MATH:1005:0084,"21, TA",3,0,1
MATH:1005:0084,"24, TA",5,0,1
MATH:1005:0084,"26, TA",2,0,1
MATH:1005:0084,"28, TA",2,0,1
MATH:1005:0084,"30, TA",4,0,1
MATH:1005:0084,"31, TA",4,0,1
MATH:1005:0084,"32, TA",6,0,1
MATH:1005:0084,"34, TA",5,0,1
MATH:1005:0084,"35, TA",6,0,1
MATH:1005:0084,"36, TA",3,0,1
MATH:1005:0084,"37, TA",3,0,1
MATH:1005:0084,"38, TA",6,0,1
MATH:1005:0084,"40, TA",6,0,1
MATH:1005:0084,"41, TA",2,0,1
MATH:1005:0084,"46, TA",2,0,1
MATH:1005:0084,"47, TA",2,0,1
MATH:1005:0084,"48, TA",2,0,1
MATH:1005:0084,"50, TA",2,0,1
MATH:1005:0084,"53, TA",3,0,1
MATH:1005:0084,"63, TA",1,0,1
MATH:1005:0084,"65, TA",1,0,1
MATH:1005:0084,"69, TA",1,0,1
MATH:1005:0084,"71, TA",1,0,1
MATH:1005:0091,"01, TA",5,2,1
MATH:1005:0091,"03, TA",4,5,1
MATH:1005:0091,"05, TA",3,2,1
MATH:1005:0091,"07, TA",2,5,1
MATH:1005:0091,"13, TA",5,3,1
MATH:1005:0091,"14, TA",2,3,0
MATH:1005:0091,"18, TA",5,2,1
MATH:1005:0091,"20, TA",3,1,0
MATH:1005:0091,"22, TA",2,4,0
MATH:1005:0091,"23, TA",4,3,1
MATH:1005:0091,"27, TA",5,3,1
MATH:1005:0091,"29, TA",2,3,0
MATH:1005:0091,"42, TA",3,1,1
MATH:1005:0091,"43, TA",2,4,0
MATH:1005:0091,"45, TA",3,2,0
MATH:1005:0091,"49, TA",4,3,1
MATH:1005:0091,"52, TA",2,2,1
MATH:1005:0091,"54, TA",1,1,1
MATH:1005:0091,"55, TA",1,1,1
MATH:1005:0091,"56, TA",1,1,0
MATH:1005:0091,"57, TA",1,4,1
MATH:1005:0091,"58, TA",1,1,0
MATH:1005:0091,"59, TA",1,2,0
MATH:1005:0091,"60, TA",1,5,1
MATH:1005:0091,"62, TA",1,2,0
MATH:1005:0091,"64, TA",1,2,0
MATH:1005:0091,"67, TA",1,5,1
MATH:1005:0091,"68, TA",1,2,0
MATH:1005:0091,"70, TA",1,2,0
MATH:1005:0091,"02, TA",3,0,1
MATH:1005:0091,"04, TA",2,0,1
MATH:1005:0091,"09, TA",4,0,1
MATH:1005:0091,"10, TA",3,0,1
MATH:1005:0091,"11, TA",2,0,1
MATH:1005:0091,"12, TA",4,0,1
MATH:1005:0091,"17, TA",3,0,1
MATH:1005:0091,"19, TA",4,0,1
MATH:1005:0091,"21, TA",3,0,1
MATH:1005:0091,"24, TA",5,0,1
MATH:1005:0091,"26, TA",2,0,1
MATH:1005:0091,"31, TA",4,0,1
MATH:1005:0091,"32, TA",6,0,1
MATH:1005:0091,"33, TA",6,0,1
MATH:1005:0091,"34, TA",5,0,1
MATH:1005:0091,"36, TA",3,0,1
MATH:1005:0091,"37, TA",3,0,1
MATH:1005:0091,"50, TA",2,0,1
MATH:1005:0091,"51, TA",3,0,1
MATH:1005:0091,"53, TA",3,0,1
MATH:1005:0091,"61, TA",1,0,1
MATH:1005:0091,"63, TA",1,0,1
MATH:1005:0091,"65, TA",1,0,1
MATH:1005:0091,"66, TA",1,0,1
MATH:1005:0091,"69, TA",1,0,1
MATH:1005:0091,"71, TA",1,0,1
MATH:1005:0091,TA 39,6,0,1
MATH:1005:0101,"01, TA",5,2,1
MATH:1005:0101,"03, TA",4,5,0
MATH:1005:0101,"05, TA",3,2,0
MATH:1005:0101,"07, TA",2,5,0
MATH:1005:0101,"13, TA",5,3,1
MATH:1005:0101,"14, TA",2,3,0
MATH:1005:0101,"18, TA",5,2,1
MATH:1005:0101,"20, TA",3,1,1
MATH:1005:0101,"22, TA",2,4,1
MATH:1005:0101,"23, TA",4,3,1
MATH:1005:0101,"27, TA",5,3,1
MATH:1005:0101,"29, TA",2,3,1
MATH:1005:0101,"42, TA",3,1,1
MATH:1005:0101,"43, TA",2,4,0
MATH:1005:0101,"45, TA",3,2,1
MATH:1005:0101,"49, TA",4,3,1
MATH:1005:0101,"52, TA",2,2,1
MATH:1005:0101,"54, TA",1,1,0
MATH:1005:0101,"55, TA",1,1,0
MATH:1005:0101,"56, TA",1,1,0
MATH:1005:0101,"57, TA",1,4,0
MATH:1005:0101,"58, TA",1,1,0
MATH:1005:0101,"59, TA",1,2,0
MATH:1005:0101,"60, TA",1,5,0
MATH:1005:0101,"62, TA",1,2,0
MATH:1005:0101,"64, TA",1,2,0
MATH:1005:0101,"67, TA",1,5,0
MATH:1005:0101,"68, TA",1,2,0
MATH:1005:0101,"70, TA",1,2,1
MATH:1005:0101,"08, TA",2,0,1
MATH:1005:0101,"12, TA",4,0,1
MATH:1005:0101,"24, TA",5,0,1
MATH:1005:0101,"33, TA",6,0,1
MATH:1005:0101,"34, TA",5,0,1
MATH:1005:0101,"36, TA",3,0,1
MATH:1005:0101,"37, TA",3,0,1
MATH:1005:0101,"38, TA",6,0,1
MATH:1005:0101,"40, TA",6,0,1
MATH:1005:0101,"44, TA (2)",3,0,1
MATH:1005:0101,"47, TA",2,0,1
MATH:1005:0101,"48, TA",2,0,1
MATH:1005:0101,"51, TA",3,0,1
MATH:1005:0101,"53, TA",3,0,1
MATH:1005:0101,"61, TA",1,0,1
MATH:1005:0101,"63, TA",1,0,1
MATH:1005:0101,"69, TA",1,0,1
MATH:1005:0111,"01, TA",5,2,0
MATH:1005:0111,"03, TA",4,5,1
MATH:1005:0111,"05, TA",3,2,0
MATH:1005:0111,"07, TA",2,5,0
MATH:1005:0111,"13, TA",5,3,0
MATH:1005:0111,"14, TA",2,3,0
MATH:1005:0111,"18, TA",5,2,0
MATH:1005:0111,"20, TA",3,1,1
MATH:1005:0111,"22, TA",2,4,1
MATH:1005:0111,"23, TA",4,3,1
MATH:1005:0111,"27, TA",5,3,1
MATH:1005:0111,"29, TA",2,3,1
MATH:1005:0111,"42, TA",3,1,0
MATH:1005:0111,"43, TA",2,4,0
MATH:1005:0111,"45, TA",3,2,1
MATH:1005:0111,"49, TA",4,3,1
MATH:1005:0111,"52, TA",2,2,1
MATH:1005:0111,"54, TA",1,1,0
MATH:1005:0111,"55, TA",1,1,0
MATH:1005:0111,"56, TA",1,1,1
MATH:1005:0111,"57, TA",1,4,0
MATH:1005:0111,"58, TA",1,1,1
MATH:1005:0111,"59, TA",1,2,1
MATH:1005:0111,"60, TA",1,5,0
MATH:1005:0111,"62, TA",1,2,1
MATH:1005:0111,"64, TA",1,2,0
MATH:1005:0111,"67, TA",1,5,0
MATH:1005:0111,"68, TA",1,2,0
MATH:1005:0111,"70, TA",1,2,1
MATH:1005:0111,"04, TA",2,0,1
MATH:1005:0111,"08, TA",2,0,1
MATH:1005:0111,"16, TA",5,0,1
MATH:1005:0111,"19, TA",4,0,1
MATH:1005:0111,"28, TA",2,0,1
MATH:1005:0111,"31, TA",4,0,1
MATH:1005:0111,"32, TA",6,0,1
MATH:1005:0111,"33, TA",6,0,1
MATH:1005:0111,"34, TA",5,0,1
MATH:1005:0111,"36, TA",3,0,1
MATH:1005:0111,"38, TA",6,0,1
MATH:1005:0111,"48, TA",2,0,1
MATH:1005:0111,"63, TA",1,0,1
MATH:1005:0111,"69, TA",1,0,1
MATH:1005:0112,"01, TA",5,2,0
MATH:1005:0112,"03, TA",4,5,0
MATH:1005:0112,"05, TA",3,2,0
MATH:1005:0112,"07, TA",2,5,0
MATH:1005:0112,"13, TA",5,3,0
MATH:1005:0112,"14, TA",2,3,0
MATH:1005:0112,"18, TA",5,2,0
MATH:1005:0112,"20, TA",3,1,0
MATH:1005:0112,"22, TA",2,4,0
MATH:1005:0112,"23, TA",4,3,1
MATH:1005:0112,"27, TA",5,3,1
MATH:1005:0112,"29, TA",2,3,1
MATH:1005:0112,"42, TA",3,1,0
MATH:1005:0112,"43, TA",2,4,0
MATH:1005:0112,"45, TA",3,2,0
MATH:1005:0112,"49, TA",4,3,0
MATH:1005:0112,"52, TA",2,2,0
MATH:1005:0112,"54, TA",1,1,0
MATH:1005:0112,"55, TA",1,1,0
MATH:1005:0112,"56, TA",1,1,1
MATH:1005:0112,"57, TA",1,4,0
MATH:1005:0112,"58, TA",1,1,1
MATH:1005:0112,"59, TA",1,2,1
MATH:1005:0112,"60, TA",1,5,0
MATH:1005:0112,"62, TA",1,2,1
MATH:1005:0112,"64, TA",1,2,0
MATH:1005:0112,"67, TA",1,5,0
MATH:1005:0112,"68, TA",1,2,0
MATH:1005:0112,"70, TA",1,2,1
MATH:1005:0112,"19, TA",4,0,1
MATH:1005:0112,"28, TA",2,0,1
MATH:1005:0112,"32, TA",6,0,1
MATH:1005:0112,"33, TA",6,0,1
MATH:1005:0112,"34, TA",5,0,1
MATH:1005:0112,"63, TA",1,0,1
MATH:1005:0112,"69, TA",1,0,1
MATH:1005:0121,"01, TA",5,2,1
MATH:1005:0121,"03, TA",4,5,1
MATH:1005:0121,"05, TA",3,2,0
MATH:1005:0121,"07, TA",2,5,0
MATH:1005:0121,"13, TA",5,3,1
MATH:1005:0121,"14, TA",2,3,1
MATH:1005:0121,"18, TA",5,2,1
MATH:1005:0121,"20, TA",3,1,0
MATH:1005:0121,"22, TA",2,4,1
MATH:1005:0121,"23, TA",4,3,1
MATH:1005:0121,"27, TA",5,3,1
MATH:1005:0121,"29, TA",2,3,0
MATH:1005:0121,"42, TA",3,1,1
MATH:1005:0121,"43, TA",2,4,1
MATH:1005:0121,"45, TA",3,2,1
MATH:1005:0121,"49, TA",4,3,1
MATH:1005:0121,"52, TA",2,2,1
MATH:1005:0121,"54, TA",1,1,1
MATH:1005:0121,"55, TA",1,1,1
MATH:1005:0121,"56, TA",1,1,1
MATH:1005:0121,"57, TA",1,4,1
MATH:1005:0121,"58, TA",1,1,1
MATH:1005:0121,"59, TA",1,2,1
MATH:1005:0121,"60, TA",1,5,1
MATH:1005:0121,"62, TA",1,2,1
MATH:1005:0121,"64, TA",1,2,0
MATH:1005:0121,"67, TA",1,5,1
MATH:1005:0121,"68, TA",1,2,0
MATH:1005:0121,"70, TA",1,2,0
MATH:1005:0121,"04, TA",2,0,1
MATH:1005:0121,"06, TA",2,0,1
MATH:1005:0121,"12, TA",4,0,1
MATH:1005:0121,"15, TA",2,0,1
MATH:1005:0121,"16, TA",5,0,1
MATH:1005:0121,"19, TA",4,0,1
MATH:1005:0121,"24, TA",5,0,1
MATH:1005:0121,"32, TA",6,0,1
MATH:1005:0121,"33, TA",6,0,1
MATH:1005:0121,"34, TA",5,0,1
MATH:1005:0121,"36, TA",3,0,1
MATH:1005:0121,"37, TA",3,0,1
MATH:1005:0121,"38, TA",6,0,1
MATH:1005:0121,"40, TA",6,0,1
MATH:1005:0121,"46, TA",2,0,1
MATH:1005:0121,"47, TA",2,0,1
MATH:1005:0121,"53, TA",3,0,1
MATH:1005:0121,"61, TA",1,0,1
MATH:1005:0121,"63, TA",1,0,1
MATH:1005:0121,"65, TA",1,0,1
MATH:1005:0121,"69, TA",1,0,1
MATH:1005:0121,"71, TA",1,0,1
MATH:1005:0121,TA 39,6,0,1
MATH:1005:0122,"01, TA",5,2,1
MATH:1005:0122,"03, TA",4,5,1
MATH:1005:0122,"05, TA",3,2,0
MATH:1005:0122,"07, TA",2,5,1
MATH:1005:0122,"13, TA",5,3,1
MATH:1005:0122,"14, TA",2,3,0
MATH:1005:0122,"18, TA",5,2,1
MATH:1005:0122,"20, TA",3,1,1
MATH:1005:0122,"22, TA",2,4,1
MATH:1005:0122,"23, TA",4,3,1
MATH:1005:0122,"27, TA",5,3,0
MATH:1005:0122,"29, TA",2,3,1
MATH:1005:0122,"42, TA",3,1,1
MATH:1005:0122,"43, TA",2,4,1
MATH:1005:0122,"45, TA",3,2,0
MATH:1005:0122,"49, TA",4,3,0
MATH:1005:0122,"52, TA",2,2,1
MATH:1005:0122,"54, TA",1,1,1
MATH:1005:0122,"55, TA",1,1,1
MATH:1005:0122,"56, TA",1,1,1
MATH:1005:0122,"57, TA",1,4,1
MATH:1005:0122,"58, TA",1,1,1
MATH:1005:0122,"59, TA",1,2,1
MATH:1005:0122,"60, TA",1,5,1
MATH:1005:0122,"62, TA",1,2,1
MATH:1005:0122,"64, TA",1,2,0
MATH:1005:0122,"67, TA",1,5,1
MATH:1005:0122,"68, TA",1,2,1
MATH:1005:0122,"70, TA",1,2,1
MATH:1005:0122,"02, TA",3,0,1
MATH:1005:0122,"04, TA",2,0,1
MATH:1005:0122,"06, TA",2,0,1
MATH:1005:0122,"10, TA",3,0,1
MATH:1005:0122,"11, TA",2,0,1
MATH:1005:0122,"12, TA",4,0,1
MATH:1005:0122,"15, TA",2,0,1
MATH:1005:0122,"16, TA",5,0,1
MATH:1005:0122,"19, TA",4,0,1
MATH:1005:0122,"26, TA",2,0,1
MATH:1005:0122,"28, TA",2,0,1
MATH:1005:0122,"31, TA",4,0,1
MATH:1005:0122,"32, TA",6,0,1
MATH:1005:0122,"36, TA",3,0,1
MATH:1005:0122,"37, TA",3,0,1
MATH:1005:0122,"38, TA",6,0,1
MATH:1005:0122,"40, TA",6,0,1
MATH:1005:0122,"41, TA",2,0,1
MATH:1005:0122,"50, TA",2,0,1
MATH:1005:0122,"53, TA",3,0,1
